Real-time Process Information (Top Output):
top - 04:28:14 up 16 min,  1 user,  load average: 0.60, 0.54, 0.36
Tasks: 358 total,   1 running, 357 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.7 us,  0.4 sy,  0.0 ni, 98.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15320.0 total,   9803.4 free,   2572.8 used,   2943.7 buff/cache
MiB Swap:  19531.0 total,  19531.0 free,      0.0 used.  12342.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1054 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.3.1
   1055 root      -2   0       0      0      0 S   0.0   0.0   0:00.18 sdma0
   1056 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 vcn_dec
   1057 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 vcn_enc0
   1058 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 vcn_enc1
   1059 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 jpeg_dec
   1137 root      20   0  172596  11392  10112 S   0.0   0.1   0:00.02 cups-browsed
   1146 kernoops  20   0   13084   2196   1792 S   0.0   0.0   0:00.00 kerneloops
   1153 kernoops  20   0   13084   2092   1664 S   0.0   0.0   0:00.00 kerneloops
   1185 mysql     20   0 2335708 392444  35456 S   0.0   2.5   0:08.75 mysqld
   1237 root      20   0  241324   8832   7936 S   0.0   0.1   0:00.03 gdm3
   1267 rtkit     21   1  154000   3200   2944 S   0.0   0.0   0:00.02 rtkit-daemon
   1341 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/9:2-events
   1469 root      20   0  242316   8832   7552 S   0.0   0.1   0:00.11 upowerd
   1488 root      20   0  372928  37748  18220 S   0.0   0.2   0:02.22 packagekitd
   1642 colord    20   0  245332  12868   9540 S   0.0   0.1   0:00.10 colord
   1717 root      20   0  170712  10708   9088 S   0.0   0.1   0:00.05 gdm-session-wor
   1727 ayush     20   0   18124  10368   7936 S   0.0   0.1   0:00.44 systemd
   1728 ayush     20   0  170256   6044   1664 S   0.0   0.0   0:00.00 (sd-pam)
   1734 ayush      9 -11   39848   6656   5504 S   0.0   0.0   0:00.03 pipewire
   1735 ayush     20   0   23600   6528   5504 S   0.0   0.0   0:00.00 pipewire-media-
   1736 ayush      9 -11 1236876  29636  21572 S   0.0   0.2   0:00.10 pulseaudio
   1746 ayush     20   0  240880   7196   6272 S   0.0   0.0   0:00.08 gnome-keyring-d
   1754 ayush     20   0    9716   5248   4096 S   0.0   0.0   0:00.81 dbus-daemon
   1758 ayush     20   0  240640   7680   7040 S   0.0   0.0   0:00.04 gvfsd
   1771 ayush     20   0  380888   6528   5888 S   0.0   0.0   0:00.00 gvfsd-fuse
